[2020-11-04T21:41:26.071+0300][0.001s][info][gc] Min heap equals to max heap, disabling ShenandoahUncommit
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Using Shenandoah
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ExplicitGCInvokesConcurrent
[2020-11-04T21:41:26.076+0300][0.005s][info][gc] Heuristics ergonomically sets -XX:+ShenandoahImplicitGCInvokesConcurrent
[2020-11-04T21:41:26.301+0300][0,231s][info][gc] Trigger: Explicit GC request (System.gc())
[2020-11-04T21:41:28.018+0300][1,948s][info][gc] GC(12) Concurrent evacuation 7,077ms
[2020-11-04T21:41:28.019+0300][1,948s][info][gc] GC(12) Pause Init Update Refs 0,013ms
[2020-11-04T21:41:28.047+0300][1,977s][info][gc] GC(12) Concurrent update references 28,739ms
[2020-11-04T21:41:28.048+0300][1,978s][info][gc] GC(12) Pause Final Update Refs 0,155ms
[2020-11-04T21:41:28.048+0300][1,978s][info][gc] GC(12) Concurrent cleanup 413M->156M(512M) 0,116ms
[2020-11-04T21:41:28.114+0300][2,044s][info][gc] Trigger: Average GC time (78,27 ms) is above the time for allocation rate (1692 MB/s) to deplete free headroom (130M)
[2020-11-04T21:41:28.114+0300][2,044s][info][gc] GC(13) Concurrent reset 0,579ms
[2020-11-04T21:41:28.115+0300][2,045s][info][gc] GC(13) Pause Init Mark (unload classes) 0,126ms
[2020-11-04T21:41:28.158+0300][2,088s][info][gc] GC(13) Concurrent marking (unload classes) 42,865ms
[2020-11-04T21:41:28.158+0300][2,088s][info][gc] GC(13) Pause Final Mark (unload classes) 0,407ms
[2020-11-04T21:41:28.159+0300][2,089s][info][gc] GC(13) Concurrent weak roots 0,401ms
[2020-11-04T21:41:28.159+0300][2,089s][info][gc] GC(13) Concurrent cleanup 354M->354M(512M) 0,033ms
[2020-11-04T21:41:28.160+0300][2,090s][info][gc] GC(13) Concurrent class unloading 0,946ms
[2020-11-04T21:41:28.160+0300][2,090s][info][gc] GC(13) Concurrent strong roots 0,111ms
[2020-11-04T21:41:28.166+0300][2,096s][info][gc] GC(13) Concurrent evacuation 5,988ms
[2020-11-04T21:41:28.166+0300][2,096s][info][gc] GC(13) Pause Init Update Refs 0,013ms
[2020-11-04T21:41:28.193+0300][2,123s][info][gc] GC(13) Concurrent update references 26,548ms
[2020-11-04T21:41:28.193+0300][2,123s][info][gc] GC(13) Pause Final Update Refs 0,143ms
[2020-11-04T21:41:28.194+0300][2,123s][info][gc] GC(13) Concurrent cleanup 426M->180M(512M) 0,107ms
[2020-11-04T21:41:28.249+0300][2,178s][info][gc] Trigger: Average GC time (80,11 ms) is above the time for allocation rate (1717 MB/s) to deplete free headroom (137M)
[2020-11-04T21:41:28.249+0300][2,179s][info][gc] GC(14) Concurrent reset 0,579ms
[2020-11-04T21:41:28.250+0300][2,179s][info][gc] GC(14) Pause Init Mark (unload classes) 0,101ms
[2020-11-04T21:41:28.294+0300][2,224s][info][gc] GC(14) Concurrent marking (unload classes) 44,239ms
[2020-11-04T21:41:28.294+0300][2,224s][info][gc] GC(14) Pause Final Mark (unload classes) 0,369ms
[2020-11-04T21:41:28.295+0300][2,225s][info][gc] GC(14) Concurrent weak roots 0,415ms
[2020-11-04T21:41:28.295+0300][2,225s][info][gc] GC(14) Concurrent cleanup 348M->348M(512M) 0,035ms
[2020-11-04T21:41:28.296+0300][2,226s][info][gc] GC(14) Concurrent class unloading 0,781ms
[2020-11-04T21:41:28.296+0300][2,226s][info][gc] GC(14) Concurrent strong roots 0,119ms
[2020-11-04T21:41:28.302+0300][2,231s][info][gc] GC(14) Concurrent evacuation 5,661ms
[2020-11-04T21:41:28.302+0300][2,232s][info][gc] GC(14) Pause Init Update Refs 0,022ms
[2020-11-04T21:41:28.329+0300][2,259s][info][gc] GC(14) Concurrent update references 27,383ms
[2020-11-04T21:41:28.330+0300][2,260s][info][gc] GC(14) Pause Final Update Refs 0,151ms
[2020-11-04T21:41:28.330+0300][2,260s][info][gc] GC(14) Concurrent cleanup 422M->191M(512M) 0,116ms
[2020-11-04T21:41:28.380+0300][2,310s][info][gc] Trigger: Average GC time (83,06 ms) is above the time for allocation rate (1689 MB/s) to deplete free headroom (140M)
[2020-11-04T21:41:28.381+0300][2,310s][info][gc] GC(15) Concurrent reset 0,549ms
[2020-11-04T21:41:28.381+0300][2,311s][info][gc] GC(15) Pause Init Mark (process weakrefs) (unload classes) 0,104ms
[2020-11-04T21:41:28.473+0300][2,403s][info][gc] GC(15) Concurrent marking (process weakrefs) (unload classes) 91,965ms
[2020-11-04T21:41:28.473+0300][2,403s][info][gc] GC(15) Concurrent precleaning 0,175ms
[2020-11-04T21:41:28.474+0300][2,404s][info][gc] GC(15) Pause Final Mark (process weakrefs) (unload classes) 0,476ms
[2020-11-04T21:41:28.474+0300][2,404s][info][gc] GC(15) Concurrent weak roots 0,357ms
[2020-11-04T21:41:28.474+0300][2,404s][info][gc] GC(15) Concurrent cleanup 345M->345M(512M) 0,035ms
[2020-11-04T21:41:28.475+0300][2,405s][info][gc] GC(15) Concurrent class unloading 0,780ms
[2020-11-04T21:41:28.475+0300][2,405s][info][gc] GC(15) Concurrent strong roots 0,108ms
[2020-11-04T21:41:28.481+0300][2,411s][info][gc] GC(15) Concurrent evacuation 5,352ms
[2020-11-04T21:41:28.481+0300][2,411s][info][gc] GC(15) Pause Init Update Refs 0,013ms
[2020-11-04T21:41:28.513+0300][2,443s][info][gc] GC(15) Concurrent update references 32,333ms
[2020-11-04T21:41:28.514+0300][2,444s][info][gc] GC(15) Pause Final Update Refs 0,222ms
[2020-11-04T21:41:28.514+0300][2,444s][info][gc] GC(15) Concurrent cleanup 405M->183M(512M) 0,121ms
[2020-11-04T21:41:28.597+0300][2,527s][info][gc] Trigger: Average GC time (90,96 ms) is above the time for allocation rate (1157 MB/s) to deplete free headroom (104M)
[2020-11-04T21:41:28.597+0300][2,527s][info][gc] GC(16) Concurrent reset 0,594ms
[2020-11-04T21:41:28.598+0300][2,528s][info][gc] GC(16) Pause Init Mark (unload classes) 0,135ms
[2020-11-04T21:41:28.609+0300][2,539s][info][gc] GC(16) Concurrent marking (unload classes) 10,855ms
